x_m,y_m,width_left_m,width_right_m,vx_mps
-75.1789211,51.8677007,1.5871684,0.5,5.3007667
-75.1518232,51.9639328,1.6005731,0.5,5.2865241
-75.1207062,52.0588765,1.6139779,0.5,5.2724905
-75.0855994,52.152379,1.6273826,0.5,5.2588597
-75.0465321,52.2442873,1.6407874,0.5,5.2458132
-75.0035335,52.3344485,1.6541921,0.5,5.2335134
-74.956633,52.4227098,1.6675969,0.5,5.2220945
-74.9058598,52.5089182,1.6810016,0.5,5.2116538
-74.8517464,52.5922318,1.6944064,0.5,5.2011922
-74.7940698,52.6732822,1.6543087,0.5384097,5.1994457
-74.7330015,52.7520567,1.5942019,0.5911839,5.2058946
-74.6687376,52.8285031,1.5340952,0.6439582,5.2194581
-74.601474,52.902569,1.4739884,0.6967325,5.2390946
-74.5314066,52.9742024,1.4138816,0.7495068,5.2638105
-74.4587315,53.0433509,1.3537749,0.802281,5.2926648
-74.3836447,53.1099625,1.2936681,0.8550553,5.3247685
-74.306342,53.1739847,1.2335614,0.9078296,5.3592813
-74.2270224,53.2353634,1.1734546,0.9606038,5.395407
-74.1459707,53.2939929,1.1133479,1.0133781,5.4324349
-74.0631971,53.3500014,1.0701459,1.0568421,5.4719412
-73.9788011,53.403451,1.0334564,1.0967193,5.5140539
-73.8928822,53.4544039,0.996767,1.1365965,5.5588351
-73.8055399,53.5029223,0.9600775,1.1764737,5.606292
-73.7168736,53.5490685,0.9233881,1.216351,5.6563878
-73.626983,53.5929047,0.8866986,1.2562282,5.7090507
-73.5359675,53.6344931,0.8500091,1.2961054,5.7641827
-73.4439265,53.6738959,0.8133197,1.3359826,5.8216663
-73.3509927,53.7111625,0.7766302,1.3758598,5.8813714
-73.2575572,53.7462508,0.7399408,1.415737,5.9431375
-73.1633594,53.7793667,0.7174985,1.4384811,6.0067059
-73.0684603,53.8105818,0.7007081,1.4544285,6.0721246
